artist,country,place_final,points_final,title,year
Milan Stanković,Serbia,13.0,72.0,Ovo Je Balkan,2010
Kristina Pelakova,Slovakia,,,Horehronie,2010
Ansambel Žlindra & Kalamari,Slovenia,,,Narodnozabavni Rock,2010
Daniel Diges,Spain,15.0,68.0,Algo Pequeñito (Something Tiny),2010
Anna Bergendahl,Sweden,,,This Is My Life,2010
Michael von der Heide,Switzerland,,,Il Pleut de L'Or,2010
maNga,Turkey,2.0,170.0,We Could Be The Same,2010
Alyosha,Ukraine,10.0,108.0,Sweet People,2010
Josh,United Kingdom,25.0,10.0,That Sounds Good To Me,2010
Kejsi Tola,Albania,17.0,48.0,Carry Me In Your Dreams,2009
Susanne Georgi,Andorra,,,La Teva Decisió (Get A Life),2009
Inga & Anush,Armenia,10.0,92.0,Jan Jan,2009
AySel & Arash,Azerbaijan,3.0,207.0,Always,2009
Petr Elfimov,Belarus,,,Eyes That Never Lie,2009
Copycat,Belgium,,,Copycat,2009
Regina,Bosnia & Herzegovina,9.0,106.0,Bistra Voda,2009
Krassimir Avramov,Bulgaria,,,Illusion,2009
Igor Cukrov feat. Andrea,Croatia,18.0,45.0,Lijepa Tena,2009
Christina Metaxa,Cyprus,,,Firefly,2009
Gipsy.cz,Czech Republic,,,Aven Romale,2009
Brinck,Denmark,13.0,74.0,Believe Again,2009
Urban Symphony,Estonia,6.0,129.0,Rändajad,2009
Waldo's People,Finland,25.0,22.0,Lose Control,2009
Patricia Kaas,France,8.0,107.0,Et S'il Fallait Le Faire,2009
Alex Swings Oscar Sings!,Germany,20.0,35.0,Miss Kiss Kiss Bang,2009
Sakis Rouvas,Greece,7.0,120.0,This Is Our Night,2009
Zoli Ádok,Hungary,,,Dance With Me,2009
Yohanna,Iceland,2.0,218.0,Is It True?,2009
Sinéad Mulvey & Black Daisy,Ireland,,,Et Cetera,2009
Noa & Mira Awad,Israel,16.0,53.0,There Must Be Another Way,2009
Intars Busulis,Latvia,,,Probka,2009
Sasha Son,Lithuania,23.0,23.0,Love,2009
Chiara,Malta,22.0,31.0,What If We,2009
Nelly Ciobanu,Moldova,14.0,69.0,Hora Din Moldova,2009
Andrea Demirovic,Montenegro,,,Just Get Out of My Life,2009
The Toppers,Netherlands,,,Shine,2009
Next Time,North Macedonia,,,Neshto Shto Ke Ostane,2009
Alexander Rybak,Norway,1.0,387.0,Fairytale,2009
Lidia Kopania,Poland,,,I Don't Wanna Leave,2009
Flor-de-lis,Portugal,15.0,57.0,Todas As Ruas Do Amor,2009
Elena,Romania,19.0,40.0,The Balkan Girls,2009
Anastasia Prikhodko,Russia,11.0,91.0,Mamo,2009
Marko Kon & Milaan,Serbia,,,Cipela,2009
Kamil Mikulčík & Nela Pocisková,Slovakia,,,Leť Tmou,2009
Quartissimo feat. Martina,Slovenia,,,Love Symphony,2009
Soraya,Spain,24.0,23.0,La Noche Es Para Mí (The Night Is For Me),2009
Malena Ernman,Sweden,21.0,33.0,La Voix,2009
Lovebugs,Switzerland,,,The Highest Heights,2009
Hadise,Turkey,4.0,177.0,Düm Tek Tek,2009
Svetlana Loboda,Ukraine,12.0,76.0,Be my Valentine! (Anti-crisis Girl),2009
Jade Ewen,United Kingdom,5.0,173.0,It's My Time,2009
Olta Boka,Albania,17.0,55.0,Zemrën E Lamë Peng,2008
Gisela,Andorra,,,Casanova,2008
Sirusho,Armenia,4.0,199.0,"Qele, Qele",2008
Elnur & Samir,Azerbaijan,8.0,132.0,Day After Day,2008
Ruslan Alehno,Belarus,,,Hasta La Vista,2008
Ishtar,Belgium,,,O Julissi,2008
Laka,Bosnia & Herzegovina,10.0,110.0,Pokušaj,2008
Deep Zone & Balthazar,Bulgaria,,,"DJ, Take Me Away",2008
Kraljevi Ulice & 75 Cents,Croatia,21.0,44.0,Romanca,2008
Evdokia Kadi,Cyprus,,,Femme Fatale,2008
Tereza Kerndlová,Czech Republic,,,Have Some Fun,2008
Simon Mathew,Denmark,15.0,60.0,All Night Long,2008
Kreisiraadio,Estonia,,,Leto Svet,2008
Teräsbetoni,Finland,22.0,35.0,Missä Miehet Ratsastaa,2008
Sébastien Tellier,France,19.0,47.0,Divine,2008
Diana Gurtskaya,Georgia,11.0,83.0,Peace Will Come,2008
No Angels,Germany,23.0,14.0,Disappear,2008
Kalomira,Greece,3.0,218.0,Secret Combination,2008
Csézy,Hungary,,,Candlelight,2008
Euroband,Iceland,14.0,64.0,This Is My Life,2008
Dustin the Turkey,Ireland,,,Irelande Douze Pointe,2008
Boaz,Israel,9.0,124.0,The Fire In Your Eyes,2008
Pirates Of The Sea,Latvia,12.0,83.0,Wolves Of The Sea,2008
Jeronimas Milius,Lithuania,,,Nomads In The Night,2008
Morena,Malta,,,Vodka,2008
Geta Burlacu,Moldova,,,A Century Of Love,2008
Stefan Filipović,Montenegro,,,Zauvijek Volim Te,2008
Hind,Netherlands,,,Your Heart Belongs To Me,2008
"Tamara, Vrčak & Adrijan",North Macedonia,,,Let Me Love You,2008
Maria,Norway,5.0,182.0,Hold On Be Strong,2008
Isis Gee,Poland,24.0,14.0,For Life,2008
Vânia Fernandes,Portugal,13.0,69.0,Senhora Do Mar (Negras Águas),2008
Nico & Vlad,Romania,20.0,45.0,Pe-o Margine De Lume,2008
Dima Bilan,Russia,1.0,272.0,Believe,2008
Miodio,San Marino,,,Complice,2008
Jelena Tomašević feat. Bora Dugic,Serbia,6.0,160.0,Oro,2008
Rebeka Dremelj,Slovenia,,,Vrag Naj Vzame,2008
Rodolfo Chikilicuatre,Spain,16.0,55.0,Baila El Chiki Chiki,2008
Charlotte Perrelli,Sweden,18.0,47.0,Hero,2008
Paolo Meneguzzi,Switzerland,,,Era Stupendo,2008
Mor ve Ötesi,Turkey,7.0,138.0,Deli,2008
Ani Lorak,Ukraine,2.0,230.0,Shady Lady,2008
Andy Abraham,United Kingdom,25.0,14.0,Even If,2008
Aida & Frederik Ndoci,Albania,,,Hear My Plea,2007
Anonymous,Andorra,,,Salvem El Món,2007
Hayko,Armenia,8.0,138.0,Anytime You Need,2007
Eric Papilaya,Austria,,,Get A Life - Get Alive,2007
Dmitry Koldun,Belarus,6.0,145.0,Work Your Magic,2007
The KMG's,Belgium,,,Love Power,2007
Marija Sestic,Bosnia & Herzegovina,11.0,106.0,Rijeka Bez Imena,2007
Elitsa Todorova & Stoyan Yankulov,Bulgaria,5.0,157.0,Water,2007
Dragonfly feat. Dado Topic,Croatia,,,Vjerujem U Ljubav,2007
Evridiki,Cyprus,,,"Comme Ci, Comme ça",2007
Kabát,Czech Republic,,,Malá Dáma,2007
DQ,Denmark,,,Drama Queen,2007
Gerli Padar,Estonia,,,Partners In Crime,2007
Hanna Pakarinen,Finland,17.0,53.0,Leave Me Alone,2007
Les Fatals Picards,France,22.0,19.0,L'amour à La Française,2007
Sopho,Georgia,12.0,97.0,Visionary Dream,2007
Roger Cicero,Germany,19.0,49.0,Frauen Regieren Die Welt,2007
Sarbel,Greece,7.0,139.0,Yassou Maria,2007
Magdi Rúzsa,Hungary,9.0,128.0,Unsubstantial Blues,2007
Eiríkur Hauksson,Iceland,,,Valentine Lost,2007
Dervish,Ireland,24.0,5.0,They Can't Stop The Spring,2007
Teapacks,Israel,,,Push The Button,2007
Bonaparti.lv,Latvia,16.0,54.0,Questa Notte,2007
4Fun,Lithuania,21.0,28.0,Love Or Leave,2007
Olivia Lewis,Malta,,,Vertigo,2007
Natalia Barbu,Moldova,10.0,109.0,Fight,2007
Stevan Faddy,Montenegro,,,Ajde Kroci,2007
Edsilia Rombley,Netherlands,,,On Top Of The World,2007
Karolina,North Macedonia,14.0,73.0,Mojot Svet,2007
Guri Schanke,Norway,,,Ven A Bailar Conmigo,2007
The Jet Set,Poland,,,Time To Party,2007
Sabrina,Portugal,,,Dança Comigo (vem Ser Feliz),2007
Todomondo,Romania,13.0,84.0,"Liubi, Liubi, I Love You",2007
Serebro,Russia,3.0,207.0,Song # 1,2007
Marija Šerifović,Serbia,1.0,268.0,Molitva,2007
Alenka Gotar,Slovenia,15.0,66.0,Cvet Z Juga,2007
NASH,Spain,20.0,43.0,I Love You Mi Vida,2007
The Ark,Sweden,18.0,51.0,The Worrying Kind,2007
DJ BoBo,Switzerland,,,Vampires Are Alive,2007
Kenan Dogulu,Turkey,4.0,163.0,Shake It Up Shekerim,2007
Verka Serduchka,Ukraine,2.0,235.0,Dancing Lasha Tumbai,2007
Scooch,United Kingdom,22.0,19.0,Flying The Flag (for You),2007
Luiz Ejlli,Albania,,,Zjarr E Ftohtë,2006
Jennifer,Andorra,,,Sense Tu,2006
André,Armenia,8.0,129.0,Without Your Love,2006
Polina Smolova,Belarus,,,Mum,2006
Kate Ryan,Belgium,,,Je T'adore,2006
Hari Mata Hari,Bosnia & Herzegovina,3.0,229.0,Lejla,2006
Mariana Popova,Bulgaria,,,Let Me Cry,2006
Severina,Croatia,12.0,56.0,Moja Štikla,2006
Annet Artani,Cyprus,,,Why Angels Cry,2006
Sidsel Ben Semmane,Denmark,18.0,26.0,Twist Of Love,2006
Sandra,Estonia,,,Through My Window,2006
Lordi,Finland,1.0,292.0,Hard Rock Hallelujah,2006
Virginie Pouchin,France,22.0,5.0,Il était Temps,2006
Texas Lightning,Germany,14.0,36.0,"No, No, Never",2006
Anna Vissi,Greece,9.0,128.0,Everything,2006
Silvia Night,Iceland,,,Congratulations,2006
Brian Kennedy,Ireland,10.0,93.0,Every Song Is A Cry For Love,2006
Eddie Butler,Israel,23.0,4.0,Ze Hazman,2006
Cosmos,Latvia,16.0,30.0,I Hear Your Heart,2006
LT United,Lithuania,6.0,162.0,We Are The Winners,2006
Fabrizio Faniello,Malta,24.0,1.0,I Do,2006
Arsenium & Natalia Gordienko,Moldova,20.0,22.0,Loca,2006
Séverine Ferrer,Monaco,,,La Coco-dance,2006
Treble,Netherlands,,,Amambanda,2006
Elena Risteska,North Macedonia,12.0,56.0,Ninanajna,2006
Christine Guldbrandsen,Norway,14.0,36.0,Alvedansen,2006
Ich Troje,Poland,,,Follow My Heart,2006
Nonstop,Portugal,,,Coisas De Nada,2006
Mihai Traistariu,Romania,4.0,172.0,Tornero,2006
Dima Bilan,Russia,2.0,248.0,Never Let You Go,2006
"Withdrew from the competition, but still voted",Serbia & Montenegro,,,No song yet,2006
Anej Dean,Slovenia,,,Mr. Nobody,2006
Las Ketchup,Spain,21.0,18.0,Bloody Mary,2006
Carola,Sweden,5.0,170.0,Invincible,2006
Six4One,Switzerland,16.0,30.0,If We All Give A Little,2006
Sibel Tüzün,Turkey,11.0,91.0,Superstar,2006
Tina Karol,Ukraine,7.0,145.0,Show Me Your Love,2006
Daz Sampson,United Kingdom,19.0,25.0,Teenage Life,2006
Ledina Celo,Albania,16.0,53.0,Tomorrow I Go,2005
Marian van de Wal,Andorra,,,La Mirada Interior,2005
Global.Kryner,Austria,,,Y Así,2005
Angelica Agurbash,Belarus,,,Love Me Tonight,2005
Nuno Resende,Belgium,,,Le Grand Soir,2005
Feminnem,Bosnia & Herzegovina,14.0,79.0,Call Me,2005
Kaffe,Bulgaria,,,Lorraine,2005
Boris Novkovic feat. Lado members,Croatia,11.0,115.0,Vukovi Umiru Sami,2005
Constantinos Christoforou,Cyprus,18.0,46.0,Ela Ela,2005
Jakob Sveistrup,Denmark,9.0,125.0,Talking To You,2005
Suntribe,Estonia,,,Let's Get Loud,2005
Geir Rönning,Finland,,,Why,2005
Ortal,France,23.0,11.0,Chacun Pense à Soi,2005
Gracia,Germany,24.0,4.0,Run & Hide,2005
Helena Paparizou,Greece,1.0,230.0,My Number One,2005
NOX,Hungary,12.0,97.0,Forogj Világ,2005
Selma,Iceland,,,If I Had Your Love,2005
Donna and Joseph McCaul,Ireland,,,Love?,2005
Shiri Maymon,Israel,4.0,154.0,Hasheket Shenish'ar,2005
Walter & Kazha,Latvia,5.0,153.0,The War Is Not Over,2005
Laura and the Lovers,Lithuania,,,Little By Little,2005
Chiara,Malta,2.0,192.0,Angel,2005
Zdob si Zdub,Moldova,6.0,148.0,Boonika Bate Toba,2005
Lise Darly,Monaco,,,Tout De Moi,2005
Glennis Grace,Netherlands,,,My Impossible Dream,2005
Martin Vucic,North Macedonia,17.0,52.0,Make My Day,2005
Wig Wam,Norway,9.0,125.0,In My Dreams,2005
Ivan & Delfin,Poland,,,Czarna Dziewczyna,2005
2B,Portugal,,,Amar,2005
Luminita Anghel & Sistem,Romania,3.0,158.0,Let Me Try,2005
Natalia Podolskaya,Russia,15.0,57.0,Nobody Hurt No One,2005
No Name,Serbia & Montenegro,7.0,137.0,Zauvijek Moja,2005
Omar Naber,Slovenia,,,Stop,2005
Son de sol,Spain,21.0,28.0,Brujería,2005
Martin Stenmarck,Sweden,19.0,30.0,Las Vegas,2005
Vanilla Ninja,Switzerland,8.0,128.0,Cool Vibes,2005
Gülseren,Turkey,13.0,92.0,Rimi Rimi Ley,2005
Greenjolly,Ukraine,19.0,30.0,Razom Nas Bahato,2005
Javine,United Kingdom,22.0,18.0,Touch My Fire,2005
Anjeza Shahini,Albania,7.0,106.0,The Image Of You,2004
Marta Roure,Andorra,,,Jugarem A Estimar-nos,2004
Tie Break,Austria,21.0,9.0,Du Bist,2004
Aleksandra & Konstantin,Belarus,,,My Galileo,2004
Xandee,Belgium,22.0,7.0,1 Life,2004
Deen,Bosnia & Herzegovina,9.0,91.0,In The Disco,2004
Ivan Mikulic,Croatia,12.0,50.0,You Are The Only One,2004
Lisa Andreas,Cyprus,5.0,170.0,Stronger Every Minute,2004
Tomas Thordarson,Denmark,,,Shame On You,2004
Neiokõsõ,Estonia,,,Tii,2004
Jari Sillanpää,Finland,,,Takes 2 To Tango,2004
Jonatan Cerrada,France,15.0,40.0,A Chaque Pas,2004
Max (Maximilian Mutzke),Germany,8.0,93.0,Can't Wait Until Tonight,2004
Sakis Rouvas,Greece,3.0,252.0,Shake It,2004
Jónsi,Iceland,19.0,16.0,Heaven,2004
Chris Doran,Ireland,22.0,7.0,If My World Stopped Turning,2004
David D'or,Israel,,,Le'ha'amin,2004
Fomins & Kleins,Latvia,,,Dziesma Par Laimi,2004
Linas ir Simona,Lithuania,,,What's Happened To Your Love,2004
Julie & Ludwig,Malta,12.0,50.0,On Again... Off Again,2004
Maryon,Monaco,,,Notre Planète,2004
Re-union,Netherlands,20.0,11.0,Without You,2004
Tose Proeski,North Macedonia,14.0,47.0,Life,2004
Knut Anders Sørum,Norway,24.0,3.0,High,2004
Blue Cafe,Poland,17.0,27.0,Love Song,2004
Sofia,Portugal,,,Foi Magia,2004
Sanda Ladosi,Romania,18.0,18.0,I Admit,2004
Julia Savicheva,Russia,11.0,67.0,Believe Me,2004
Željko Joksimović,Serbia & Montenegro,2.0,263.0,Lane Moje,2004
Platin,Slovenia,,,Stay Forever,2004
Ramón,Spain,10.0,87.0,Para Llenarme De Ti,2004
Lena Philipsson,Sweden,5.0,170.0,It Hurts,2004
Piero Esteriore & the MusicStars,Switzerland,,,Celebrate,2004
Athena,Turkey,4.0,195.0,For Real,2004
Ruslana,Ukraine,1.0,280.0,Wild Dances,2004
James Fox,United Kingdom,16.0,29.0,Hold On To Our Love,2004
Alf Poier,Austria,6.0,101.0,Weil Der Mensch Zählt,2003
Urban Trad,Belgium,2.0,165.0,Sanomi,2003
Mija Martina,Bosnia & Herzegovina,16.0,27.0,Ne Brini,2003
Claudia Beni,Croatia,15.0,29.0,Vie Nisam Tvoja,2003
Stelios Constantas,Cyprus,20.0,15.0,Feeling Alive,2003
Ruffus,Estonia,21.0,14.0,Eighties Coming Back,2003
Louisa Baileche,France,18.0,19.0,Monts Et Merveilles,2003
Lou,Germany,11.0,53.0,Let's Get Happy,2003
Mando,Greece,17.0,25.0,Never Let You Go,2003
Birgitta,Iceland,8.0,81.0,Open Your Heart,2003
Mickey Harte,Ireland,11.0,53.0,Weve Got The World,2003
Lior Narkis,Israel,19.0,17.0,Words For Love,2003
F.L.Y.,Latvia,24.0,5.0,Hello From Mars,2003
Lynn Chirchop,Malta,25.0,4.0,To Dream Again,2003
Esther Hart,Netherlands,13.0,45.0,One More Night,2003
Jostein Hasselgård,Norway,4.0,123.0,I'm Not Afraid To Move On,2003
Ich Troje,Poland,7.0,90.0,Keine Grenzen - Zadnych Granic,2003
Rita Guerra,Portugal,22.0,13.0,Deixa-me Sonhar,2003
Nicola,Romania,10.0,73.0,Dont Break My Heart,2003
t.A.T.u.,Russia,3.0,164.0,"Ne Ver, Ne Boisia",2003
Karmen,Slovenia,23.0,7.0,Nanana,2003
Beth,Spain,8.0,81.0,Dime,2003
Fame,Sweden,5.0,107.0,Give Me Your Love,2003
Sertab Erener,Turkey,1.0,167.0,Everyway That I Can,2003
Olexandr,Ukraine,14.0,30.0,Hasta La Vista,2003
Jemini,United Kingdom,26.0,0.0,Cry Baby,2003
Manuel Ortega,Austria,18.0,26.0,Say A Word,2002
Sergio & the Ladies,Belgium,13.0,33.0,Sister,2002
Maja,Bosnia & Herzegovina,13.0,33.0,Na Jastuku Za Dvoje,2002
Vesna Pisarovic,Croatia,11.0,44.0,Everything I Want,2002
One,Cyprus,6.0,85.0,Gimme,2002
Malene,Denmark,24.0,7.0,Tell Me Who You Are,2002
Sahléne,Estonia,3.0,111.0,Runaway,2002
Laura,Finland,20.0,24.0,Addicted To You,2002
Sandrine François,France,5.0,104.0,Il Faut Du Temps,2002
Corinna May,Germany,21.0,17.0,I Can't Live Without Music,2002
Michalis Rakintzis,Greece,17.0,27.0,S.A.G.A.P.O.,2002
Sarit Hadad,Israel,12.0,37.0,Light A Candle,2002
Marie N,Latvia,1.0,176.0,I Wanna,2002
Aivaras,Lithuania,23.0,12.0,Happy You,2002
Ira Losco,Malta,2.0,164.0,7th Wonder,2002
Karolina,North Macedonia,19.0,25.0,Od Nas Zavisi,2002
Monica Anghel & Marcel Pavel,Romania,9.0,71.0,Tell Me Why,2002
Prime minister,Russia,10.0,55.0,Northern Girl,2002
Sestre,Slovenia,13.0,33.0,Samo Ljubezen,2002
Rosa,Spain,7.0,81.0,Europe's Living A Celebration,2002
Afro-dite,Sweden,8.0,72.0,Never Let It Go,2002
Francine Jordi,Switzerland,22.0,15.0,Dans Le Jardin De Mon Âme,2002
Buket Bengisu & Saphire,Turkey,16.0,29.0,Leylaklar Soldu Kalbinde,2002
Jessica Garlick,United Kingdom,3.0,111.0,Come Back,2002
Nino,Bosnia & Herzegovina,14.0,29.0,Hano,2001
Vanna,Croatia,10.0,42.0,Strings Of My Heart,2001
Rollo & King,Denmark,2.0,177.0,Never Ever Let You Go,2001
"Tanel Padar, Dave Benton & 2XL",Estonia,1.0,198.0,Everybody,2001
Natasha St-Pier,France,4.0,142.0,Je N'ai Que Mon âme,2001
Michelle,Germany,8.0,66.0,Wer Liebe Lebt,2001
Antique,Greece,3.0,147.0,Die For You,2001
TwoTricky,Iceland,22.0,3.0,Angel,2001
Gary O'Shaughnessy,Ireland,21.0,6.0,Without Your Love,2001
Tal Sondak,Israel,16.0,25.0,Ein Davar,2001
Arnis Mednis,Latvia,18.0,16.0,Too Much,2001
Skamp,Lithuania,13.0,35.0,You Got Style,2001
Fabrizio Faniello,Malta,9.0,48.0,Another Summer Night,2001
Michelle,Netherlands,18.0,16.0,Out On My Own,2001
Haldor Lægreid,Norway,22.0,3.0,On My Own,2001
Piasek,Poland,20.0,11.0,2 Long,2001
MTM,Portugal,17.0,18.0,Só Sei Ser Feliz Assim,2001
Mumiy troll,Russia,12.0,37.0,Lady Alpine Blue,2001
Nuša Derenda,Slovenia,7.0,70.0,Energy,2001
David Civera,Spain,6.0,76.0,Dile Que La Quiero,2001
Friends,Sweden,5.0,100.0,Listen To Your Heartbeat,2001
Sedat Yüce,Turkey,11.0,41.0,Sevgiliye Son,2001
Lindsay D.,United Kingdom,15.0,28.0,No Dream Impossible,2001
The rounder girls,Austria,14.0,34.0,All To You,2000
Nathalie Sorce,Belgium,24.0,2.0,Envie De Vivre,2000
Goran Karan,Croatia,9.0,70.0,Kada Zaspu Andeli,2000
Voice,Cyprus,21.0,8.0,Nomiza,2000
Olsen brothers,Denmark,1.0,195.0,Fly On The Wings Of Love,2000
Ines,Estonia,4.0,98.0,Once In A Lifetime,2000
Nina Åström,Finland,18.0,18.0,A Little Bit,2000
Sofia Mestari,France,23.0,5.0,On Aura Le Ciel,2000
Stefan Raab,Germany,5.0,96.0,Wadde Hadde Dudde Da,2000
Einer Augúst Víðisson en Telma Augústdóttir,Iceland,12.0,45.0,Tell Me!,2000
Eamonn Toal,Ireland,6.0,92.0,Millennium Of Love,2000
Ping Pong,Israel,22.0,7.0,Sa'me'akh,2000
BrainStorm,Latvia,3.0,136.0,My Star,2000
Claudette Pace,Malta,8.0,73.0,Desire,2000
Linda Wagenmakers,Netherlands,13.0,40.0,No Goodbyes,2000
XXL,North Macedonia,15.0,29.0,100\% Te Ljubam,2000
Charmed,Norway,11.0,57.0,My Heart Goes Boom,2000
Taxi,Romania,17.0,25.0,The Moon,2000
Alsou,Russia,2.0,155.0,Solo,2000
Serafín Zubiri,Spain,18.0,18.0,Colgado De Un Sueño,2000
Roger Pontare,Sweden,7.0,88.0,When Spirits Are Calling My Name,2000
Jane Bogaert,Switzerland,20.0,14.0,La Vita Cos'è?,2000
Pinar Ayhan & S.O.S. band,Turkey,10.0,59.0,Yorgunum Anla,2000
Nicki French,United Kingdom,16.0,28.0,Don't Play That Song Again,2000
Bobbie Singer,Austria,10.0,65.0,Reflection,1999
Vanessa Chinitor,Belgium,12.0,38.0,Like The Wind,1999
Dino and Beatrice,Bosnia & Herzegovina,7.0,86.0,Putnici,1999
Doris Dragovic,Croatia,4.0,118.0,Marija Magdalena,1999
Marlain Angelidou,Cyprus,22.0,2.0,Tha'nai Erotas,1999
Trine Jepsen & Michael Teschl,Denmark,8.0,71.0,This Time (i Mean It),1999
Evelin Samuel and Camille,Estonia,6.0,90.0,Diamond Of Night,1999
Nayah,France,19.0,14.0,Je Veux Donner Ma Voix,1999
Sürpriz,Germany,3.0,140.0,Reise Nach Jerusalem - Kudüs'e Seyahat,1999
Selma Björnsdóttir,Iceland,2.0,146.0,All Out Of Luck,1999
The Mullan's,Ireland,17.0,18.0,When You Need Me,1999
Eden,Israel,5.0,93.0,Yom Huledeth,1999
Aiste Smilgeviciute,Lithuania,20.0,13.0,Strazdas,1999
Times 3,Malta,15.0,32.0,Believe 'n Peace,1999
Marlayne,Netherlands,8.0,71.0,One Good Reason,1999
Stig André Van Eijk,Norway,14.0,35.0,Living My Life Without You,1999
Mietek (Mieczyslaw) Szczesniak,Poland,18.0,17.0,Przytul Mnie Mocno,1999
Rui Bandeira,Portugal,21.0,12.0,Como Tudo Começou,1999
Darja Svajger,Slovenia,11.0,50.0,For A Thousand Years,1999
Lydia,Spain,23.0,1.0,No Quiero Escuchar,1999
Charlotte Nilsson,Sweden,1.0,163.0,Take Me To Your Heaven,1999
Tuba Önal & Grup Mystik,Turkey,16.0,21.0,Dön Artik,1999
Precious,United Kingdom,12.0,38.0,Say It Again,1999
Mélanie Cohl,Belgium,6.0,122.0,Dis Oui,1998
Danijela,Croatia,5.0,131.0,Neka Mi Ne Svane,1998
Michael Hajiyanni,Cyprus,11.0,37.0,Genesis,1998
Koit Toome,Estonia,12.0,36.0,Mere Lapsed,1998
Edea,Finland,15.0,22.0,Aava,1998
Marie-Line,France,24.0,3.0,Où Aller,1998
Guildo Horn,Germany,7.0,86.0,Guildo Hat Euch Lieb,1998
Dionysia and Thalassa group,Greece,20.0,12.0,Mia Krifi Evaisthissia,1998
Charlie,Hungary,23.0,4.0,A Holnap Már Ném Lesz Szomorú,1998
Dawn,Ireland,9.0,64.0,Is Always Over Now?,1998
Dana International,Israel,1.0,172.0,Diva,1998
Chiara,Malta,3.0,165.0,The One That I Love,1998
Edsilia Rombley,Netherlands,4.0,150.0,Hemel En Aarde,1998
Vlado Janevski,North Macedonia,19.0,16.0,"Ne Zori, Zoro",1998
Lars A. Fredriksen,Norway,8.0,79.0,Alltid Sommer,1998
Sixteen,Poland,17.0,19.0,To Takie Proste,1998
Alma Lusa,Portugal,12.0,36.0,Se Eu Te Pudesse Abraçar,1998
Malina Olinescu,Romania,22.0,6.0,Eu Cred,1998
Katarína Hasprová,Slovakia,21.0,8.0,Modlitba,1998
Vili Resnik,Slovenia,18.0,17.0,Naj Bogovi Sliijo,1998
Mikel Herzog,Spain,16.0,21.0,¿Qué Voy A Hacer Sin Ti?,1998
Jill Johnson,Sweden,10.0,53.0,Kärleken är,1998
Gunvor,Switzerland,25.0,0.0,Lass Ihn,1998
Tüzmen,Turkey,14.0,25.0,Unutamazsin,1998
Imaani,United Kingdom,2.0,166.0,Where Are You?,1998
Bettina Soriat,Austria,21.0,12.0,One Step,1997
Alma Cardzic,Bosnia & Herzegovina,18.0,22.0,Goodbye,1997
ENI,Croatia,17.0,24.0,Probudi Me,1997
Chara and Andreas Konstantinou,Cyprus,5.0,98.0,Mana Mou,1997
Kølig Kaj,Denmark,16.0,25.0,Stemmen I Mit Liv,1997
Maarja-Liis Ilus,Estonia,8.0,82.0,Keelatud Maa,1997
Fanny,France,7.0,95.0,Sentiments Songes,1997
Bianca Shomburg,Germany,18.0,22.0,Zeit,1997
Marianna Zorba,Greece,12.0,39.0,Horepse,1997
VIP,Hungary,12.0,39.0,"Miert Kell, Hogy Elmenj?",1997
Paul Oscar,Iceland,20.0,18.0,Minn Hinsti Dans,1997
Marc Roberts,Ireland,2.0,157.0,Mysterious Woman,1997
Jalisse,Italy,4.0,114.0,Fiumi Di Parole,1997
Debbie Scerri,Malta,9.0,66.0,Let Me Fly,1997
Mrs. Einstein,Netherlands,22.0,5.0,Niemand Heeft Nog Tijd,1997
Tor Endresen,Norway,24.0,0.0,San Francisco,1997
Anna Maria Jopek,Poland,11.0,54.0,Ale Jestem,1997
Célia Lawson,Portugal,24.0,0.0,Antes Do Adeus,1997
Alla Pugachova,Russia,15.0,33.0,Primadonna,1997
Tanja Ribic,Slovenia,10.0,60.0,Zbudi Se,1997
Marcos Llunas,Spain,6.0,96.0,Sin Rencor,1997
Blond,Sweden,14.0,36.0,Bara Hon älskar Mig,1997
Barbara Berta,Switzerland,22.0,5.0,Dentro Di Me,1997
Sebnem Paker and Group Etnic,Turkey,3.0,121.0,Dinle,1997
Katrina and The Waves,United Kingdom,1.0,227.0,Love Shine A Light,1997
George Nußbaumer,Austria,10.0,68.0,Weil's Dr Guat Got,1996
Lisa del Bo,Belgium,16.0,22.0,Liefde Is Een Kaartspel,1996
Amila Glamocak,Bosnia & Herzegovina,22.0,13.0,Za Nau Ljubav,1996
Maja Blagdan,Croatia,4.0,98.0,Sveta Ljubav,1996
Constantinos,Cyprus,9.0,72.0,Móno Gia Más,1996
Ivo Linna and Maarja-Liis Ilus,Estonia,5.0,94.0,Kaelakee Hääl,1996
Jasmine,Finland,23.0,9.0,Niin Kaunis On Taivas,1996
Dan Ar Braz et l'Héritage des Celtes,France,19.0,18.0,Diwanit Bugale,1996
Marianna Efstratiou,Greece,14.0,36.0,Emis Forame To Himona Anixiatika,1996
Anna Mjöll,Iceland,13.0,51.0,Sjúbídú,1996
Eimear Quinn,Ireland,1.0,162.0,The Voice,1996
Miriam Christine,Malta,10.0,68.0,In A Woman's Heart,1996
Maxine and Franklin Brown,Netherlands,7.0,78.0,De Eerste Keer,1996
Elisabeth Andreasson,Norway,2.0,114.0,I Evighet,1996
Kasia Kowalska,Poland,15.0,31.0,Chce Znac Swój Grzech,1996
Lúcia Moniz,Portugal,6.0,92.0,O Meu Coração Não Tem Cor,1996
Marcel Palonder,Slovakia,18.0,19.0,Kým Nás Má,1996
Regina,Slovenia,21.0,16.0,Dan najlepših sanj,1996
Antonio Carbonell,Spain,20.0,17.0,"¡Ay, Qué Deseo!",1996
